№,Название,Длина (м),Водоизмещение (GT),Владелец/Примечание,Верфь,Источники
1,Azzam,180,~13 136,Шейх Мохаммед бен Заид (ОАЭ),Lürssen Yachts,[1][5][6]
2,Fulk Al Salamah,164,Неизвестно,Королевская семья Омана,Марина Марина,[3]
3,Eclipse,162.5,~13 564,Роман Абрамович (Россия),Blohm + Voss,[2][3][7]
4,Dubai,162,13 470,Шейх Мохаммед бен Рашид (ОАЭ),Blohm + Voss,[5]
5,Blue,160,~14 000,Государственная (ОАЭ?),Lürssen Yachts,[1]
6,Dilbar,157,15 917 (рекорд),Алишер Усманов (Россия),Lürssen Yachts,[1][6][7]
7,A+ (ex-Topaz),147,Неизвестно,Мансур ибн Заид Аль Нахайян (ОАЭ),Lürssen Yachts,[1]
8,Koru (ex-Y721),127,Неизвестно,Неизвестно,Oceanco,[2][4]
9,Serene,134,Неизвестно,Неизвестно,Fincantieri,[2][4]
10,Al Mirqab,133,Неизвестно,Неизвестно,Kusch Yachts,[2][4]
