Клуб,Страна,Вид спорта,Стоимость,Изменение за год,Источник
Реал Мадрид,Испания,Футбол,"$7,7 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Барселона,Испания,Футбол,"$6,65 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Манчестер Юнайтед,Англия,Футбол,"$6,5 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Бавария,Германия,Футбол,"$4,9 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Ливерпуль,Англия,Футбол,"$4,5 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Манчестер Сити,Англия,Футбол,"$4,4 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
ПСЖ,Франция,Футбол,"$3,2 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Челси,Англия,Футбол,"$3,1 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Арсенал,Англия,Футбол,"$2,9 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
Тоттенхэм,Англия,Футбол,"$2,8 млрд",—,https://www.championat.com/football/news-6448108-sportico-predstavil-top-10-samyh-dorogih-klubov-v-mire.html
